Description,Index,Scenario,Perspective,Ambiguity
Grab the green block that is closest to you.,1256,Configuration_3_v1.png,neither,1
Pick up the green block that is closest to you.,1276,Configuration_3_v1.png,neither,1
Pick up the closest green block to the front,396,Configuration_3_v1.png,ambiguous,2
Pick up the green block that is closest to you (below the yellow and blue blocks from your view).,236,Configuration_3_v1.png,neither,1
Look for a green block. Pick up the green block that is closest to you.,1030,Configuration_3_v1.png,neither,1
Pick up the green block that is furthest away from me.,1244,Configuration_3_v1.png,neither,1
pick up the green block that is closest to you,1352,Configuration_3_v1.png,neither,1
Pick up the green block closest to you.,306,Configuration_3_v1.png,neither,1
Grab the closest green block to you.,1148,Configuration_3_v1.png,neither,1
pick up the green block closest to you,902,Configuration_3_v1.png,neither,1
Narrow search for only green blocks. Find the green block that is closest to you. Pick it up.,790,Configuration_3_v1.png,neither,1
Pick up the closest green block.,270,Configuration_3_v1.png,ambiguous,2
Pick up the green block directly in front of you.,958,Configuration_3_v1.png,neither,1
Pick up the green block that is closest to you.,850,Configuration_3_v1.png,neither,1
Pick up the green block that is closest to you.,1268,Configuration_3_v1.png,neither,1
Pick up the green block closest to you,120,Configuration_3_v1.png,neither,1
Pick up the green block closest to you.,1302,Configuration_3_v1.png,neither,1
Pick up the green block closest to you.,768,Configuration_3_v1.png,neither,1
Pick up the green block that is closest to you.,688,Configuration_3_v1.png,neither,1
Pick up the block most close to you,1008,Configuration_3_v1.png,neither,2
Pick up the green block that is closest to you and on the right.,92,Configuration_3_v1.png,neither,1
Pick up the closest block to you.,918,Configuration_3_v1.png,neither,2
Pick up the green block closest to you.,1212,Configuration_3_v1.png,neither,1
Take the green block closer to you.,824,Configuration_3_v1.png,neither,1
Pick up the green block which is closest to you.,368,Configuration_3_v1.png,neither,1
Pick up the green block closest to you.,196,Configuration_3_v1.png,neither,1
green block at the very top of the table just above yellow block.,164,Configuration_3_v1.png,ambiguous,1
Pick up the green block that is the furthest away from you.,357,Configuration_3_v2.png,neither,1
Pick up the green block right in front of the two blue blocks that are furthest away from you.,1019,Configuration_3_v2.png,ambiguous,1
the green block that is the closest to me,1571,Configuration_3_v2.png,neither,1
pick the green box at the top.,1191,Configuration_3_v2.png,ambiguous,2
pick up the green block underneath the two uppermost blue blocks,107,Configuration_3_v2.png,ambiguous,2
the green block on my right,1123,Configuration_3_v2.png,user,1
pick up left arm and pick up block 2nd from the back.,179,Configuration_3_v2.png,ambiguous,3
Pick up the green block on the far right,703,Configuration_3_v2.png,ambiguous,2
Pick up the green block furthest from you.,503,Configuration_3_v2.png,neither,1
"To your left, count 2 blocks then grab the one immediately after it.",1538,Configuration_3_v2.png,agent,2
The block is on the bottom right. It is in the middle of the block on the farthest right and the one next to it.,553,Configuration_3_v2.png,ambiguous,2
Pick up the only green block to your left.,675,Configuration_3_v2.png,agent,1
Pick up the green block that is furthest away from you and in front of two blue blocks.,981,Configuration_3_v2.png,ambiguous,1
Grab the green block that is closest to me. The one that is near the two blocks directly in front of me.,425,Configuration_3_v2.png,neither,1
Pick up the green block on your left.,1101,Configuration_3_v2.png,agent,1
pick up the green block on the left,1370,Configuration_3_v2.png,ambiguous,2
Pick up the green block furthest from you.,669,Configuration_3_v2.png,neither,1
Pick up the green block at the top left portion of the blocks.,1400,Configuration_3_v2.png,ambiguous,2
Pick up the green block that is farthest on your left.,437,Configuration_3_v2.png,agent,1
Pick up the green block that is next to the two blue blocks,289,Configuration_3_v2.png,neither,1
"Raise your right hand, reach across the table directly in front of you and touch the first green block covered by the shadow of your hand.",579,Configuration_3_v2.png,agent,1
the furthest green block from you,1169,Configuration_3_v2.png,neither,1
Pick up the green block that is farther from you  than the other green block.,263,Configuration_3_v2.png,neither,1
Look at the table and pick up the green block that is furthest to the right.,541,Configuration_3_v2.png,ambiguous,2
Pick up the green block farthest away from you.,241,Configuration_3_v2.png,neither,1
Pick up the green block farthest away from you.,731,Configuration_3_v2.png,neither,1
Pick up the green block furthest to your left.,597,Configuration_3_v2.png,agent,1
Pick up the only green block that is on your far left side.,487,Configuration_3_v2.png,agent,1
"Pick up the green block on your left side, in front of the furthest blue block.",1498,Configuration_3_v2.png,agent,1
Pick up the green block that is furthest from you.,947,Configuration_3_v2.png,neither,1
Pick up the furthest away green block.,1177,Configuration_3_v2.png,ambiguous,2
Pick up the green block located between the two orange blocks and the two blue blocks towards the front left side.,453,Configuration_3_v2.png,ambiguous,1
Pick up the green block that is further away from you.,1445,Configuration_3_v2.png,agent,1
"pick up the green block on the top right, under the blue blocks",1355,Configuration_3_v2.png,ambiguous,2
Pick up the green block on your right.,1545,Configuration_3_v2.png,agent,1
I would tell the robot to pick up the green block on the far right just above the two blue blocks,45,Configuration_3_v2.png,agent,1
Pick up the green block furthest away from you; it is next to two blue blocks.,887,Configuration_3_v2.png,neither,1
Pick the green block that is farthest from you,337,Configuration_3_v2.png,neither,1
Grab the right-most green block.,153,Configuration_3_v2.png,ambiguous,2
pick up the farthest away green block,1556,Configuration_3_v2.png,ambiguous,2
Pick up the green block that is on the other side of the table.,1111,Configuration_3_v2.png,ambiguous,2
Please pick up the green block on the left side of the table.,623,Configuration_3_v2.png,ambiguous,2
Pick up the green block closest to me.,969,Configuration_3_v2.png,neither,1
Pick up the green block that is in the left portion of the group.,1484,Configuration_3_v2.png,ambiguous,2
"Put your left hand on the table and slide it forward,i will tell you when to stop and the I want you to pick up a block",1402,Configuration_3_v2.png,ambiguous,3
Pick up the yellow block that is to your left of the blue block and has three other yellow blocks surrounding it.,992,Configuration_4_v1.png,agent,2
I would ask them to pick the block in front of them to their right.,1468,Configuration_4_v1.png,agent,4
Please select the yellow block next to the blue block on your right hand side near the center of the table.,202,Configuration_4_v1.png,agent,1
"Pick up the yellow block that is on your far right, the 2nd down in a line of 4 yellow blocks, and directly next to a blue block.",30,Configuration_4_v1.png,agent,2
"There is a blue block on the table that is positioned to your farthest right. Please pick up the yellow block directly behind, and closest to, that blue block.",64,Configuration_4_v1.png,agent,1
Pick up the yellow block the third yellow block back on your right hand side next to the blue block.,436,Configuration_4_v1.png,agent,1
Grab the yellow block third from your right,408,Configuration_4_v1.png,agent,2
Pick up the yellow block surrounded by three yellow blocks and one blue block.,1106,Configuration_4_v1.png,neither,2
Locate the blue block on your right side and then pick up the yellow block located to the northwest of that block.,1333,Configuration_4_v1.png,agent,1
"Raise your left hand in the air, reach directly across the table in front of you and touch the third yellow block, the one that is directly adjacent to the blue block on the left.",584,Configuration_4_v1.png,agent,2
"Look for the rightmost purple block, the block that you want to pick up is yellow and also touching this specific purple block.",360,Configuration_4_v1.png,ambiguous,1
Pick up the yellow block that is directly to the left of the blue block that is furthest to your right.,1022,Configuration_4_v1.png,agent,1
please pick up the yellow block next to the blue one on the farthest left,464,Configuration_4_v1.png,ambiguous,2
"On the right side, count 3 blocks ahead of the one closest to you",1528,Configuration_4_v1.png,ambiguous,2
"Starting from the right most orange block, grab the third yellow block behind it.",1162,Configuration_4_v1.png,ambiguous,2
grab the yellow block next to the blue block on your right.,392,Configuration_4_v1.png,agent,1
Move the yellow block on the top and then pick up the yellow block near the blue block.,520,Configuration_4_v1.png,ambiguous,3
There are two yellow blocks directly between two blue blocks.  Pick the yellow block that is furthermost from your right.,312,Configuration_4_v1.png,agent,1
"Stand up, reach out over the table, and grab the yellow block that is touching the blue block closest to me.",1050,Configuration_4_v1.png,neither,1
"Pick up the block on your right side that is in the middle row, almost all the way to your right.",1512,Configuration_4_v1.png,agent,4
Pick up the second furthest yellow block on your right.,1430,Configuration_4_v1.png,agent,1
pick up the yellow block on the right that is between the 2 blue blocks,1364,Configuration_4_v1.png,ambiguous,2
see the row of yellow blocks on your right? the second one from the top,1573,Configuration_4_v1.png,agent,2
There is a block in the right side of the table. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block,1408,Configuration_4_v1.png,agent,8
Pick up the yellow block to the left of the blue block farthest to your right.,304,Configuration_4_v1.png,agent,1
Pick up the yellow block that is  to the immediate left of the blue block on your right.,1242,Configuration_4_v1.png,agent,1
"Pick up the yellow block on your right side, 3 blocks away from you to the left of the blue block.",1496,Configuration_4_v1.png,agent,1
Pick up the yellow block that is closest to the rightmost blue block.,914,Configuration_4_v1.png,ambiguous,2
Get the yellow block that is on the right of you and the second farthest one away from you.,250,Configuration_4_v1.png,ambiguous,2
Pick up the yellow block that is directly to the left of the blue block on the right side of the table.,1386,Configuration_4_v1.png,ambiguous,2
Pick up the yellow block to the right of the blue block on the left side.,1542,Configuration_4_v1.png,ambiguous,2
Pick up the yellow block to the north west of the blue block furthest to your right.,1427,Configuration_4_v1.png,agent,1
Pick up the yellow block that is just to your left of the blue block that is farthest to your right.,124,Configuration_4_v1.png,agent,1
Look for the two yellow blocks that have blue blocks on their left and right. Take the yellow block that is on the right.,1453,Configuration_4_v1.png,ambiguous,2
yellow block surrounded by more yellow blocks,6,Configuration_4_v1.png,ambiguous,4
"Find the two yellow blocks that are in between two blue blocks. Of those two yellow blocks, pick up the one on your right.",264,Configuration_4_v1.png,agent,1
Pick up the yellow block that is being touched by two other yellow blocks and a blue block,1564,Configuration_4_v1.png,neither,1
Pick up the yellow block to your right that is immediately left of a blue block.,138,Configuration_4_v1.png,agent,1
"Find the cluster of yellow blocks on your right.  Pick up the yellow block that lays directly on the left side of the blue block, at a slight upward angle from the edge of the desk.",896,Configuration_4_v1.png,agent,1
There is one yellow block furthest away with two in front of it. Pick up the right one in front.,1517,Configuration_4_v1.png,ambiguous,2
Pick up the yellow block that is right next to the blue block that is on the outside.,1327,Configuration_4_v1.png,ambiguous,2
Pick up the yellow block that is to the immediate left of the rightmost blue block.,1474,Configuration_4_v1.png,ambiguous,2
Pick up the yellow block next to the rightmost blue block.,274,Configuration_4_v1.png,ambiguous,2
Pick the yellow block to the left of the purple block furthest to your right.,760,Configuration_4_v1.png,agent,1
There is an orange block on the right side of the table.  Next to this orange block is a yellow block.  Please pick up the yellow block touching the yellow block.,630,Configuration_4_v1.png,ambiguous,1
Pick up the block on your right side thats in the middle row.,1509,Configuration_4_v2.png,agent,3
"To your right, count 2 blocks, then grab the one immediately after it.",1533,Configuration_4_v2.png,agent,6
Pick up the yellow block in the middle of that cluster to your right.,23,Configuration_4_v2.png,agent,3
From your perspective i would start counting block from the left bottom corner and count to the right top corner. It should be the third block and it is yellow.,73,Configuration_4_v2.png,agent,3
pick up right arm and go to the right middle and pick up block.,175,Configuration_4_v2.png,neither,4
"look on your right, you'll see an orange cube, then a yellow cube, then another yellow cube. Pick up that second yellow cube.",221,Configuration_4_v2.png,agent,1
Pick up the yellow block that is on your right side and is the second closest to you,283,Configuration_4_v2.png,agent,2
Pick the yellow block that is touching the other yellow block that is directly between the orange and blue blocks to your right.,327,Configuration_4_v2.png,agent,2
Do you see the orange block towards your right? There is a yellow block behind it. Do not grab that block but the other yellow one right next to it.,427,Configuration_4_v2.png,agent,1
Pick up the yellow block on the right side that has another yellow block between itself and the orange block.,491,Configuration_4_v2.png,ambiguous,2
The block is on the left of the table. It is the block that is in the middle of two yellow blocks.,547,Configuration_4_v2.png,ambiguous,4
Look at the orange block to the right. Look at the yellow block just north of it. Pick up the yellow block just north of the yellow block you look at.,639,Configuration_4_v2.png,ambiguous,1
"pick up the yellow block that is on your right, but not the one that is furthest right, but the one next to it.",709,Configuration_4_v2.png,agent,2
pick up the second block up on your far right side,749,Configuration_4_v2.png,agent,2
"Looking at the blocks, on your right side is an orange block with two yellow ones above it. Pick up the yellow block at the very top, the one before you get to the blue one.",783,Configuration_4_v2.png,agent,1
Pick up the second yellow block on your left.,811,Configuration_4_v2.png,agent,1
you want a yellow that will be after and orange and a yellow one on your right hand side.,837,Configuration_4_v2.png,agent,1
Pick up the yellow block on your right hand side that's next to another yellow block that's touching an orange block.,1059,Configuration_4_v2.png,agent,1
pick the third yellow block from the bottom,1195,Configuration_4_v2.png,ambiguous,4
Raise your right hand and put it on the edge of the table straight ahead.  Slide it forward until you feel a block.  Disregard the first 2 blocks and pick up the third.,1249,Configuration_4_v2.png,neither,2
"Pick up the yellow block, farthest to the right and one ahead of the closest yellow.",929,Configuration_4_v2.png,ambiguous,2
Pick up the yellow block which is between two yellow blocks and beside a blue block.,737,Configuration_4_v2.png,neither,2
"Pick up the yellow block which is the third block on your right, beyond the orange block and a yellow block.",367,Configuration_4_v2.png,agent,2
Pick up the third closest yellow block.,1181,Configuration_4_v2.png,ambiguous,3
Pick up the yellow block that is the third furthest away from you on the table.,601,Configuration_4_v2.png,neither,1
"To the right is one orange block, then 2 yellow blocks. Pick the 2nd yellow block.",1113,Configuration_4_v2.png,ambiguous,3
Look for the orange block that is furthest to the right. Count 2 yellow blocks back going away from you. That second yellow block is the one you should pick up.,945,Configuration_4_v2.png,ambiguous,2
Pick up the yellow block that is to the right and behind the orange block,405,Configuration_4_v2.png,ambiguous,2
Look for a yellow block. Pick up the third closest block to you.,1035,Configuration_4_v2.png,neither,2
"For the blue block on your far right surrounded by three yellow blocks, pick up the middle block of that yellow set of blocks.",185,Configuration_4_v2.png,agent,1
Pick up the yellow block that is directly behind the yellow block that is behind the first orange block on your right.,91,Configuration_4_v2.png,agent,1
Pick up the second yellow block that is after the brown block on your right.,1315,Configuration_4_v2.png,agent,1
pick up the second yellow block from the left that is closest to you,897,Configuration_4_v2.png,ambiguous,2
"There are many yellow blocks on the right side of the table - pick the one, out of the six in that area, that is the SECOND closest.",611,Configuration_4_v2.png,ambiguous,2
Narrow search to only yellow blocks. Look at the yellow blocks closest to the right of the table. Look for the fourth-closest to the right of the table. Pick it up.,789,Configuration_4_v2.png,ambiguous,2
"There are two blue blocks on your right hand side that have two yellow blocks between them, pick up the yellow block that is on your right side but closest to the blue and yellow blocks in a row.",1297,Configuration_4_v2.png,agent,2
Pick up the yellow block that is northeast of my left most blue block.,227,Configuration_4_v2.png,user,1
grab the yellow block that is on the left side right above the blue block on the left and right under the orange and yellow block.,157,Configuration_4_v2.png,ambiguous,3
Pick the yellow block that is two blocks behind the orange block on your far right.,481,Configuration_4_v2.png,agent,1
From your left to your right ignore the first four yellow blocks. Ignore the three yellow blocks closest to me that are remaining. Ignore the one yellow block closest to you and pick up the remaining yellow block.,975,Configuration_4_v2.png,agent,1
"Of the yellow blocks to your far right, pick up the one second closest to you.",963,Configuration_4_v2.png,agent,2
Find the orange block closest to you. Pick up the yellow block just behind the yellow block behind that orange block.,1207,Configuration_4_v2.png,ambiguous,1
Pick up the yellow block that is the third closest to you.,1265,Configuration_4_v2.png,neither,1
pick up the yellow block that is above the bottom orange block. It is the one to the left of the other yellow block,1358,Configuration_4_v2.png,ambiguous,3
Pick up the yellow block that is the second furthest from the orange block closest to you.,699,Configuration_4_v2.png,neither,1
Pick up the orange block that is farthest away from you.,442,Configuration_5_v1.png,neither,1
You will want to reach on the back side of the block pile and there will be two touching on the very back.  you will want the one on the left,828,Configuration_5_v1.png,ambiguous,2
Look at the orange block that is closest to me. Reach across and grab that and pick it up.,422,Configuration_5_v1.png,neither,1
the orange block that is the furthest from you,1579,Configuration_5_v1.png,neither,1
the orange block on the back sitting right of the yellow block,1172,Configuration_5_v1.png,ambiguous,2
please pick up the orange block underneath the orange but almost touching the yellow,476,Configuration_5_v1.png,ambiguous,3
"In front of me, on my right side is a yellow block and an orange one to the right of it, beside it. Pick up that orange block",780,Configuration_5_v1.png,user,1
"Stand up, lean over the table, and pick up the tan block that is closest to me.",1040,Configuration_5_v1.png,neither,1
Pick up the orange block that is directly next to the orange block,106,Configuration_5_v1.png,neither,3
Pick up the orange block that is the furthest from you and right next to a yellow block.,860,Configuration_5_v1.png,neither,1
pick up left arm and go in the middle and pick up block.,174,Configuration_5_v1.png,neither,4
"raise your right hand in the air,  reach directly across the table and touch the first orange block that falls under the shadow of your right hand.",582,Configuration_5_v1.png,neither,5
"The box at the utmost top, grab the one immediately to the left of it.",1540,Configuration_5_v1.png,ambiguous,3
Pick up the orange block on the far right,702,Configuration_5_v1.png,ambiguous,3
Pick up the farthest orange block from you on your left.,812,Configuration_5_v1.png,agent,1
"From your left and looking right as you examined the blocks. The first two orange blocks that you see; out of those two orange, the one to pick up is the one farther away from your position.",364,Configuration_5_v1.png,agent,1
Pick up the block on your left side that is closet to me in the back.,1504,Configuration_5_v1.png,agent,1
It is the farthest lower right block.,556,Configuration_5_v1.png,ambiguous,4
Pick up the orange block that is the farthest away from you.,1068,Configuration_5_v1.png,neither,1
"Pick up the orange block that is furthest away from you, closest to me.",16,Configuration_5_v1.png,neither,1
"Please pick up the orange block that is nearest to me. It is the orange block directly adjacent to, and slightly to the left of, the to the yellow block nearest me.",70,Configuration_5_v1.png,ambiguous,1
Pick up the orange block that is furthest from you.,500,Configuration_5_v1.png,neither,1
pick up the orange block closest to me,1372,Configuration_5_v1.png,neither,1
Pick up the furthest orange block on your left,406,Configuration_5_v1.png,agent,2
Pick up the farthest away orange block,1565,Configuration_5_v1.png,ambiguous,2
Pick up the orange block that is farthest from you.,376,Configuration_5_v1.png,agent,1
Pick up the orange block on the left corner,1004,Configuration_5_v1.png,ambiguous,2
Pick up the orange block farthest away from you.,1553,Configuration_5_v1.png,neither,1
Pick up the orange block closest to me.,970,Configuration_5_v1.png,neither,1
Pick up the orange block farthest away from you.,298,Configuration_5_v1.png,neither,1
PIck up the orange block closest to me,122,Configuration_5_v1.png,neither,1
Pick up the front leftmost orange block surrounded by two other orange blocks and yellow block on the right.,462,Configuration_5_v1.png,ambiguous,2
Pick the orange cube that is furthest away from you.,1456,Configuration_5_v1.png,neither,1
There is 3 orange blocks pretty close together. Pick the orange block that is the farther one away from you.,1114,Configuration_5_v1.png,neither,1
Pick up the orange block that is farthest away from you and to the left.,96,Configuration_5_v1.png,ambiguous,2
Pick up the orange block at the back of the group of 3 orange blocks.,1493,Configuration_5_v1.png,ambiguous,2
Pick up the orange block that is farthest away from you.,1472,Configuration_5_v1.png,neither,1
pick up the orange block that is near the top of the table and to the right,1357,Configuration_5_v1.png,ambiguous,2
Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up an object.,1401,Configuration_5_v1.png,,15
"Pick up the orange block that is the furthest away, and which is next to the single yellow block.",692,Configuration_5_v1.png,neither,2
Pick up the orange block farthest away from you.,738,Configuration_5_v1.png,neither,1
Pick up the furthest orange block.,1519,Configuration_5_v1.png,ambiguous,2
Pick up the orange block that is closest to the left-hand side of the table.,512,Configuration_5_v1.png,ambiguous,3
grab the orange block that is furthest to the right and at the bottom beside a yellow block.,162,Configuration_5_v1.png,ambiguous,3
Pick up the orange block that is closest to my right side.,962,Configuration_5_v1.png,neither,2
Pick up the block in the middle that is closet to me.,1510,Configuration_5_v2.png,neither,2
"There is a bunch of blocks together. At the top, grab the one at the most top in the middle.",1532,Configuration_5_v2.png,ambiguous,3
From your perspective i would pick the farthest yellow cube from yourself.,75,Configuration_5_v2.png,agent,1
Please pick up the yellow block nearest to me.,199,Configuration_5_v2.png,neither,1
Pick up the yellow block closest to me which is in front of the two orange blocks,211,Configuration_5_v2.png,ambiguous,1
Pick the yellow block that is the closest to me,293,Configuration_5_v2.png,neither,1
Pick up the Yellow Block that is furthest from you.,315,Configuration_5_v2.png,neither,1
Choose the yellow block that is closest to me.,335,Configuration_5_v2.png,neither,1
reach over all the blocks and grab the yellow block in the back.,379,Configuration_5_v2.png,ambiguous,3
pick up the yellow block furthest from you,407,Configuration_5_v2.png,neither,1
Pick up the yellow block in the last row.,531,Configuration_5_v2.png,ambiguous,3
Pick up the yellow block furthest from you.,661,Configuration_5_v2.png,neither,1
Pick up the yellow block furthest away from you.,677,Configuration_5_v2.png,neither,1
Pick up the yellow block all the way in the back,721,Configuration_5_v2.png,ambiguous,3
pick up the yellow block closest to me.,755,Configuration_5_v2.png,neither,1
Pick up the yellow block furthest away from you.,1017,Configuration_5_v2.png,neither,1
Pick up the yellow block that is closest to me.,1093,Configuration_5_v2.png,neither,1
the closest yellow block to me,1133,Configuration_5_v2.png,neither,1
pick the highest yellow block,1201,Configuration_5_v2.png,ambiguous,3
Grab the yellow block that is the farthest away from you.,1259,Configuration_5_v2.png,neither,1
"Out of the four yellow blocks, one is directly in front of me and is the closest block to me. Pick that one up.",1279,Configuration_5_v2.png,neither,1
Look for a yellow block. Pick up the yellow block furthest from you.,1025,Configuration_5_v2.png,neither,1
pick up the yellow block that is the farthest away from you.,1137,Configuration_5_v2.png,neither,1
Pick the yellow block furthest from you.,759,Configuration_5_v2.png,neither,1
Look at the arrangement of blocks on the table and pick up the yellow block which is closest to you.,545,Configuration_5_v2.png,neither,2
Pick p the yellow block that is furthest away from your  center.,1241,Configuration_5_v2.png,agent,1
Pick up the yellow block closest to me,651,Configuration_5_v2.png,neither,1
Pick up the furthest yellow block.,271,Configuration_5_v2.png,ambiguous,3
Pick up the yellow block that is straight ahead and the farthest from you.,935,Configuration_5_v2.png,neither,1
Pick up the yellow block that is closest to me.,233,Configuration_5_v2.png,neither,1
Pick up the yellow block that is the farthest away from you.,479,Configuration_5_v2.png,neither,1
Pick up the yellow block that is farthest from you.,255,Configuration_5_v2.png,neither,1
Pick the yellow block that is farthest to you,341,Configuration_5_v2.png,neither,1
Pick up the yellow block furthest away from you.,891,Configuration_5_v2.png,neither,1
Pick up the yellow block furthest from you.,193,Configuration_5_v2.png,neither,1
Pick the yellow block farthest away from you.,251,Configuration_5_v2.png,neither,1
Pick up the yellow block that is furthest away from you.,599,Configuration_5_v2.png,neither,1
pick up the farthest yellow block,907,Configuration_5_v2.png,neither,3
Pick up the yellow block furthest from you.,1215,Configuration_5_v2.png,neither,1
pick up the yellow cube that is furthest away from you.,569,Configuration_5_v2.png,neither,1
Pick up the yellow block that is closest to me.,131,Configuration_5_v2.png,neither,1
Pick up the yellow block that is closest to me.,1263,Configuration_5_v2.png,neither,1
pick up the most northern yellow block,1350,Configuration_5_v2.png,ambiguous,3
Pick up the yellow block that is farthest from you.,921,Configuration_5_v2.png,neither,1
yellow block in the back surrounded by orange blocks,9,Configuration_5_v2.png,ambiguous,2
Locate the 5 green cubes standing close to each other. Pick up the one in the middle.,1342,Configuration_6_v1.png,neither,1
pick up the middle green block from the group of 5,1369,Configuration_6_v1.png,neither,1
the green block that is the third closest to you,1577,Configuration_6_v1.png,neither,1
From your perspective i would pick the middle cube in the cluster of green cubes on your left side.,78,Configuration_6_v1.png,agent,1
Pick up the green block to the upper left of the yellow block that is at  the upper left of the yellow block to the left of the orange block at the bottom right of the table,104,Configuration_6_v1.png,ambiguous,2
Pick up the green cube in the middle of the group of 5 green cubes to your left.,214,Configuration_6_v1.png,agent,1
Pick up the green block that is on your left side and is the third closest to you,284,Configuration_6_v1.png,agent,1
Skip over the first two green blocks that are in front of you and pick up the green box directly in front of them.,334,Configuration_6_v1.png,ambiguous,1
Pick up the green block that is in the center of the group of five green blocks on your left.,440,Configuration_6_v1.png,agent,1
"Raise your right hand, place it on the table, slide it forward, and touch the third green block you see.",578,Configuration_6_v1.png,neither,2
"There are five green blocks on the farthest left and I would like you to pick up the middle block in that section, the block that is third-closest to you.",664,Configuration_6_v1.png,ambiguous,1
Pick up the third green block on your left,726,Configuration_6_v1.png,agent,2
in the group of 5 greens on your left. pick up the one in the middle of those.,752,Configuration_6_v1.png,agent,1
"In front of you, on your left side are two green blocks close together. I want you to pick up the green block that is right above those two.",778,Configuration_6_v1.png,agent,1
Reach out and grab the third closest green block on your left side.,800,Configuration_6_v1.png,agent,1
Pick up the green block that is in the middle of the five green blocks that are on the left side of the table.,986,Configuration_6_v1.png,ambiguous,1
Pick up the green block in the center of the group of five.,1102,Configuration_6_v1.png,neither,1
Grab the singular green block that is in between two sets of double green blocks.,1154,Configuration_6_v1.png,neither,1
there is 3 green blocks in a triangle formation the top one closest to you,1170,Configuration_6_v1.png,neither,3
"pick the fifth green block, from the top",1202,Configuration_6_v1.png,ambiguous,2
Grab the green block directly behind the group of touching green blocks on your left.,1258,Configuration_6_v1.png,agent,1
Pick up the green block that is in between two sets of green blocks.,228,Configuration_6_v1.png,neither,1
Pick up the green block that is centered between the two sets of two green blocks that are on your left.,1236,Configuration_6_v1.png,agent,1
On your left side there are five green blocks - pick up the middle one.,490,Configuration_6_v1.png,agent,1
Pick up the green block in the center of the group of 5 green blocks on your left.,302,Configuration_6_v1.png,agent,1
Pick up the green block to your left that has two green blocks in front of it and two green block behind it.,132,Configuration_6_v1.png,agent,1
Pick up the green block that is in the middle of the other green blocks.,1262,Configuration_6_v1.png,neither,2
Pick up the middle green block in the line of green blocks on the left.,1424,Configuration_6_v1.png,ambiguous,2
"only focusing on the green blocks, pick up the one that is the 3rd farthest away from you.",1142,Configuration_6_v1.png,neither,1
Pick up the green block that is in the middle of the green blocks on your left.,1308,Configuration_6_v1.png,agent,2
Pick the green block that is right between the cluster of green blocks,344,Configuration_6_v1.png,neither,2
I would tell the robot to pick up the green block that is grouped with other green blocks but is off to the right and just above two green blocks,50,Configuration_6_v1.png,ambiguous,2
Pick the green cube that is in the middle of the five green cube cluster on your left.,1454,Configuration_6_v1.png,agent,1
Look at the cluster of green blocks to your left.  Pick up the green block at the center of this cluster.,886,Configuration_6_v1.png,agent,1
"With your left hand, go straight and pick up the green block that is ahead of the two green blocks that are bunched together.",926,Configuration_6_v1.png,ambiguous,1
"Pick the green block on the left side that is the THIRD closest green block to you, out of all of the green blocks.",614,Configuration_6_v1.png,ambiguous,2
There are 5 green blocks on the left side of the table.  Please pick up the green block in the middle of this group.,628,Configuration_6_v1.png,ambiguous,1
There are two green blocks closest to you pick up the next green block closest to  you.,1292,Configuration_6_v1.png,neither,1
Green block in the middle surround by a bunch of other green blocks,2,Configuration_6_v1.png,neither,2
"On your left hand side there is 5 green blocks pretty close together. Two toward you, one in the middle, then two away from you. Please select the one in the middle.",1116,Configuration_6_v1.png,agent,1
pick up the green block that is in the middle of 2 pairs of green blocks,1558,Configuration_6_v1.png,neither,1
Pick up the green block that's in the middle of the other 4 green ones on your left.,1375,Configuration_6_v1.png,agent,1
"Looking at the arrangement of five green blocks towards the right, please pick up the green block that is in the middle of the arrangement.",542,Configuration_6_v1.png,ambiguous,2
Pick up the green block that is behind the two green blocks closest to you on your left.,874,Configuration_6_v1.png,agent,1
On the left hand side of the group of blocks are 5 green blocks. Pick up the one that is in the middle.,946,Configuration_6_v1.png,ambiguous,1
"There is a group of green blocks on your left and one green block on your right. Ignore those, and grab the green block that falls in the center, almost touching the orange block.",429,Configuration_6_v2.png,agent,1
"Pick up the green block that is in the middle, next to the orange blocks",17,Configuration_6_v2.png,neither,2
the 2nd green block from my left,1127,Configuration_6_v2.png,user,1
grab the green block in the center of the table.,415,Configuration_6_v2.png,neither,2
"Counting green blocks from right to left, pick up the second one. It is also touching an orange block which is touching another orange block.",1285,Configuration_6_v2.png,ambiguous,1
"pick up the green block, third from the top next to the two orange blocks.",1392,Configuration_6_v2.png,ambiguous,1
Look at the green block that is on the right. Pick up the green block next to that one.,641,Configuration_6_v2.png,ambiguous,3
Pick up the center most green block.,683,Configuration_6_v2.png,neither,2
The block is in the middle of the table. It is the 3rd block from the bottom.,549,Configuration_6_v2.png,ambiguous,3
Pick up the green block that is in the center of the group and that has its top edge touching the lower of the orange blocks.,861,Configuration_6_v2.png,ambiguous,1
Pick up the Green Block that is directly in front of two Orange Blocks.,321,Configuration_6_v2.png,ambiguous,2
please pick up the green block in the middle that has two orange ones underneath,475,Configuration_6_v2.png,ambiguous,1
Pick up the green block that is below two orange blocks in a line.,29,Configuration_6_v2.png,ambiguous,1
Pickup the green block that is second farthest to the right.,1227,Configuration_6_v2.png,ambiguous,2
Pick up the green block that is the second from your right.,1071,Configuration_6_v2.png,agent,1
Pick up the green block that is directly below two orange blocks.,493,Configuration_6_v2.png,ambiguous,2
